用户ID,商品ID,行为类型,日期,小时
1,2268318,pv,2017-11-24,17
1,2333346,pv,2017-11-24,22
1,2576651,pv,2017-11-25,1
1,3830808,pv,2017-11-25,7
1,4365585,pv,2017-11-25,7
1,4606018,pv,2017-11-25,13
1,230380,pv,2017-11-25,21
1,3827899,pv,2017-11-26,16
1,3745169,pv,2017-11-26,19
1,1531036,pv,2017-11-26,22
1,2266567,pv,2017-11-27,0
1,2951368,pv,2017-11-27,2
1,3108797,pv,2017-11-27,5
1,1338525,pv,2017-11-27,9
1,2286574,pv,2017-11-27,15
1,5002615,pv,2017-11-28,3
1,2734026,pv,2017-11-28,4
1,5002615,pv,2017-11-28,4
1,3239041,pv,2017-11-28,7
1,4615417,pv,2017-11-28,12
1,4152983,pv,2017-11-28,12
1,266784,pv,2017-11-28,15
1,46259,pv,2017-11-28,18
1,266784,pv,2017-11-28,22
1,4092065,pv,2017-11-28,23
1,1305059,pv,2017-11-28,23
1,2791761,pv,2017-11-29,0
1,3239041,pv,2017-11-29,7
1,46259,pv,2017-11-29,7
1,4973305,pv,2017-11-29,15
1,2087357,pv,2017-11-29,17
1,3157558,pv,2017-11-29,19
1,2087357,pv,2017-11-30,1
1,4170517,pv,2017-11-30,3
1,1340922,pv,2017-11-30,11
1,3911125,pv,2017-11-30,12
1,4170517,pv,2017-11-30,13
1,3682069,pv,2017-11-30,16
1,4954999,pv,2017-11-30,17
1,79715,pv,2017-11-30,17
1,4666650,pv,2017-11-30,23
1,1323189,pv,2017-12-01,17
1,4198227,pv,2017-12-01,17
1,4954999,pv,2017-12-01,23
1,2041056,pv,2017-12-02,4
1,3219016,pv,2017-12-02,4
1,2104483,pv,2017-12-02,6
1,2028434,pv,2017-12-02,14
1,3219016,pv,2017-12-02,19
1,2278603,pv,2017-12-02,21
1,929177,pv,2017-12-02,22
1,4954999,pv,2017-12-03,1
1,818610,pv,2017-12-03,2
1,271696,pv,2017-12-03,3
1,568695,pv,2017-12-03,6
100,4572582,pv,2017-11-24,19
100,2971043,pv,2017-11-24,19
100,2379198,pv,2017-11-24,19
100,2971043,pv,2017-11-24,19
100,1220136,pv,2017-11-24,19
100,2518420,pv,2017-11-24,19
100,3763048,pv,2017-11-24,19
100,2518420,pv,2017-11-24,19
100,1953042,pv,2017-11-24,19
100,3763048,fav,2017-11-24,19
100,5100093,pv,2017-11-24,19
100,704268,pv,2017-11-24,22
100,4115850,fav,2017-11-24,22
100,2379198,pv,2017-11-24,23
100,2971043,fav,2017-11-24,23
100,1803559,pv,2017-11-25,2
100,1603476,buy,2017-11-25,3
100,3621238,pv,2017-11-25,3
100,2971043,buy,2017-11-25,13
100,2337874,pv,2017-11-26,7
100,4182583,pv,2017-11-26,7
100,2758020,pv,2017-11-26,8
100,4919803,pv,2017-11-26,8
100,3839112,pv,2017-11-26,8
100,4848310,pv,2017-11-26,8
100,3245421,pv,2017-11-26,8
100,2434962,pv,2017-11-26,10
100,3486895,pv,2017-11-26,13
100,3245421,pv,2017-11-26,13
100,3222578,pv,2017-11-26,23
100,2758020,pv,2017-11-26,23
100,2158340,pv,2017-11-27,0
100,2337874,pv,2017-11-27,0
100,3245421,fav,2017-11-27,0
100,2758020,pv,2017-11-27,0
100,3245421,pv,2017-11-27,0
100,2752250,pv,2017-11-27,0
